# ML supertree topology tests
# Best tree: T1  lnL=-42.000000  beta=1.0000
# tree	delta_lnL	n_inform	n_plus	n_minus	WS_p	KH_z	KH_p	SH_p
T2	-46.000000	25	18	4	0.004344	3.8739	0.000054	0.000000
T3	-46.000000	25	18	3	0.001490	3.7643	0.000084	0.000000
T4	-20.000000	24	14	4	0.030884	2.6321	0.004244	0.001000
T5	-22.000000	24	14	3	0.012726	3.1140	0.000923	0.000000
T6	-34.000000	24	17	0	0.000015	7.4738	0.000000	0.000000
T7	-34.000000	22	17	0	0.000015	8.4499	0.000000	0.000000
T8	-30.000000	24	17	2	0.000729	4.7331	0.000001	0.000000
T9	-34.000000	22	17	0	0.000015	8.4499	0.000000	0.000000
T10	-28.000000	22	14	0	0.000122	6.0622	0.000000	0.000000
