newick	score	visit_count
(Mouse,(Dog,((Macaque,(Chimp,Gorilla)),(Orangutan,(Human,Rat)))),Cat);	36.087303	3
(((Macaque,(Rat,Mouse)),(Human,(Chimp,Gorilla))),Orangutan,(Cat,Dog));	25.682541	13
(((Macaque,(Rat,Mouse)),(Dog,((Chimp,Human),Gorilla))),Orangutan,Cat);	24.984127	20
(((Chimp,(Human,Gorilla)),(Orangutan,Macaque)),(Rat,(Mouse,Cat)),Dog);	24.555557	5
(((Dog,((Gorilla,Human),Chimp)),(Rat,(Mouse,Macaque))),Cat,Orangutan);	33.158737	9
(((Rat,(Mouse,Cat)),(Gorilla,Orangutan)),((Macaque,Human),Chimp),Dog);	38.785713	18
((Mouse,(((Rat,Human),Chimp),Gorilla)),Orangutan,((Macaque,Dog),Cat));	43.603176	5
(((Macaque,Mouse),(Cat,((Chimp,Human),Gorilla))),Orangutan,(Rat,Dog));	30.174603	1
((Mouse,(Macaque,((Chimp,Human),Gorilla))),Orangutan,(Rat,(Cat,Dog)));	26.984123	33
((((Mouse,Cat),Macaque),((Rat,Gorilla),Orangutan)),(Human,Chimp),Dog);	35.738098	23
(((Human,Macaque),((Orangutan,Gorilla),Dog)),(Chimp,(Cat,Mouse)),Rat);	47.023815	5
(((Chimp,((Rat,(Mouse,Cat)),Macaque)),(Gorilla,Orangutan)),Human,Dog);	38.273811	1
((((Rat,(Mouse,Cat)),Macaque),((Human,Gorilla),Orangutan)),Chimp,Dog);	30.634922	3
((Mouse,(Chimp,Human)),Orangutan,((Gorilla,Macaque),(Rat,(Cat,Dog))));	34.071423	97
((((Mouse,(Gorilla,((Rat,Macaque),Cat))),Human),Orangutan),Chimp,Dog);	50.317463	4
(((Rat,(Mouse,Dog)),Cat),Macaque,((Human,(Chimp,Gorilla)),Orangutan));	22.285717	4
((Dog,(Orangutan,Mouse)),(((Human,Macaque),(Chimp,Gorilla)),Rat),Cat);	38.694447	3
((((Mouse,Rat),(Macaque,Human)),((Cat,Gorilla),Orangutan)),Chimp,Dog);	40.587303	13
(((Human,(Cat,Macaque)),((Orangutan,Gorilla),Dog)),(Chimp,Mouse),Rat);	46.142860	10
((Macaque,((((Chimp,Human),Orangutan),Gorilla),Dog)),(Cat,Mouse),Rat);	26.468256	15
((Mouse,(Human,(Chimp,Gorilla))),Orangutan,(Macaque,(Rat,(Cat,Dog))));	29.293650	25
(Mouse,(Dog,((Macaque,(Human,(Chimp,Gorilla))),(Orangutan,Rat))),Cat);	28.067461	4
(((Macaque,Rat),((Mouse,(Chimp,Human)),Gorilla)),Orangutan,(Cat,Dog));	35.214287	14
((Macaque,Rat),(Orangutan,(Mouse,((Chimp,Human),Gorilla))),(Cat,Dog));	27.115082	20
((Rat,Mouse),(Cat,((Macaque,Orangutan),((Chimp,Human),Gorilla))),Dog);	18.730158	11
((Chimp,(Cat,Macaque)),((Human,Gorilla),Orangutan),(Mouse,(Rat,Dog)));	33.214287	5
(((Dog,(Gorilla,Human)),(Rat,(Mouse,Macaque))),(Chimp,Cat),Orangutan);	39.888889	4
(((Dog,(Mouse,Rat)),((Human,(Macaque,Chimp)),Gorilla)),Orangutan,Cat);	29.194443	3
(Cat,(((Human,Chimp),(Macaque,Gorilla)),Orangutan),(Mouse,(Rat,Dog)));	24.880953	12
(((Human,Macaque),((Chimp,(Orangutan,Gorilla)),Dog)),(Cat,Mouse),Rat);	40.773811	1
(((Macaque,(Rat,Mouse)),((Chimp,Human),Gorilla)),Orangutan,(Cat,Dog));	21.785715	43
((((Rat,(Gorilla,Cat)),((Mouse,Macaque),Human)),Orangutan),Chimp,Dog);	46.341267	6
(((Chimp,Rat),Macaque),Cat,(((Mouse,Gorilla),(Dog,Human)),Orangutan));	46.626980	49
((Rat,(Macaque,Mouse)),(Orangutan,((Chimp,Human),Gorilla)),(Cat,Dog));	17.531746	19
(((Dog,Chimp),(Rat,(Mouse,Macaque))),((Gorilla,Human),Cat),Orangutan);	38.341270	2
((((Rat,Cat),(Mouse,(Macaque,Human))),(Gorilla,Orangutan)),Chimp,Dog);	41.833332	9
((Mouse,((Rat,Cat),Macaque)),(((Human,Chimp),Gorilla),Orangutan),Dog);	24.031748	11
((Mouse,(((Macaque,Chimp),Human),Gorilla)),Orangutan,(Rat,(Cat,Dog)));	34.087303	8
(Mouse,(((Human,Macaque),(Chimp,Gorilla)),((Dog,Orangutan),Rat)),Cat);	36.559525	3
(Mouse,((Macaque,Orangutan),((Rat,(Chimp,Human)),Gorilla)),(Cat,Dog));	32.043648	32
(((Human,Gorilla),Chimp),(Cat,((Dog,Rat),(Mouse,Macaque))),Orangutan);	26.222223	13
(((Dog,(Macaque,Mouse)),((Chimp,Human),Gorilla)),Orangutan,(Rat,Cat));	29.563494	17
((Macaque,Rat),(Orangutan,((Chimp,Human),Gorilla)),(Mouse,(Cat,Dog)));	17.543652	18
((Mouse,(((Dog,(Human,(Chimp,Macaque))),Gorilla),Rat)),Orangutan,Cat);	46.007938	1
(((Macaque,Rat),((Chimp,Human),(Mouse,Gorilla))),Orangutan,(Cat,Dog));	33.313496	21
((Mouse,(Chimp,Gorilla)),(Human,Orangutan),(Macaque,(Rat,(Cat,Dog))));	34.126987	16
(((Mouse,((Rat,(Gorilla,(Macaque,Cat))),Human)),Orangutan),Chimp,Dog);	53.380955	7
(Mouse,(((Dog,(Human,Macaque)),(Chimp,Gorilla)),(Orangutan,Rat)),Cat);	41.198414	2
((Gorilla,(Mouse,Rat)),(Orangutan,(Macaque,(Human,Chimp))),(Dog,Cat));	30.968256	12
(((Rat,(Mouse,Cat)),((Human,Chimp),Macaque)),(Gorilla,Orangutan),Dog);	34.658733	3
((((Rat,Dog),Cat),Macaque),(((Human,Chimp),Gorilla),Orangutan),Mouse);	21.539686	21
(((Chimp,Rat),((Mouse,Gorilla),Macaque)),Cat,((Dog,Human),Orangutan));	46.793652	2
(((Human,(Cat,Macaque)),((Chimp,(Orangutan,Gorilla)),Dog)),Mouse,Rat);	41.686512	1
((Mouse,((Chimp,Human),Gorilla)),Orangutan,(Macaque,(Rat,(Cat,Dog))));	25.452383	188
((((Rat,(Gorilla,(Mouse,(Macaque,Cat)))),Human),Orangutan),Chimp,Dog);	50.095242	6
((Rat,Mouse),((Macaque,Orangutan),((Chimp,Human),Gorilla)),(Cat,Dog));	14.043651	34
((Rat,(Mouse,Dog)),Macaque,((Cat,((Human,Chimp),Gorilla)),Orangutan));	23.031748	2
(((Macaque,Mouse),(Human,Gorilla)),(Chimp,Orangutan),(Rat,(Cat,Dog)));	37.396828	8
((Dog,Mouse),(((Human,Macaque),(Chimp,Gorilla)),(Orangutan,Rat)),Cat);	31.825403	2
((Cat,Macaque),((Human,(Chimp,Gorilla)),Orangutan),(Mouse,(Rat,Dog)));	22.924606	16
(((Mouse,Rat),(Human,(Chimp,Gorilla))),Orangutan,((Macaque,Dog),Cat));	31.269842	4
((Cat,Macaque),(Human,((Chimp,Gorilla),Orangutan)),(Mouse,(Rat,Dog)));	29.202381	7
(((Macaque,Mouse),((Rat,(Chimp,Human)),Gorilla)),Orangutan,(Cat,Dog));	35.531750	4
((Macaque,Mouse),(Orangutan,(Rat,((Chimp,Human),Gorilla))),(Cat,Dog));	27.190474	12
((Rat,Mouse),(Orangutan,((Chimp,(Macaque,Human)),Gorilla)),(Cat,Dog));	22.416668	10
(((Cat,(((Mouse,Rat),Macaque),Human)),(Gorilla,Orangutan)),Chimp,Dog);	42.357140	15
(((Chimp,Mouse),(Human,Gorilla)),Orangutan,(Macaque,(Rat,(Cat,Dog))));	29.384922	8
((((Mouse,(Rat,(Gorilla,(Macaque,Cat)))),Human),Orangutan),Chimp,Dog);	51.523811	2
((Rat,Mouse),(Macaque,(((Orangutan,Chimp),Human),Gorilla)),(Cat,Dog));	24.321428	11
(((Cat,((((Chimp,Human),Orangutan),Gorilla),Macaque)),Dog),Mouse,Rat);	21.365076	13
(((Cat,(Macaque,Human)),(Gorilla,Orangutan)),((Mouse,Rat),Chimp),Dog);	42.884918	22
((Cat,Macaque),(((Human,Chimp),Gorilla),((Rat,Dog),Orangutan)),Mouse);	28.698414	8
(((((Mouse,Gorilla),(Dog,Human)),(Chimp,Rat)),Macaque),Cat,Orangutan);	43.769840	2
(Cat,Macaque,(((Human,Chimp),Gorilla),((Rat,(Mouse,Dog)),Orangutan)));	25.174604	2
((Macaque,((Chimp,(Mouse,Human)),Gorilla)),Orangutan,(Rat,(Cat,Dog)));	34.261906	4
((Gorilla,Human),(Cat,(Chimp,((Dog,Rat),(Mouse,Macaque)))),Orangutan);	37.626987	3
(((Macaque,Mouse),(Rat,((Chimp,Human),Gorilla))),Orangutan,(Cat,Dog));	29.277779	24
(((Cat,(((Human,(Chimp,Orangutan)),Gorilla),Macaque)),Dog),Mouse,Rat);	27.285715	4
((Rat,Mouse),(Orangutan,((Macaque,(Chimp,Human)),Gorilla)),(Cat,Dog));	19.194445	28
(((Dog,(Macaque,(Rat,Mouse))),((Chimp,Human),Gorilla)),Orangutan,Cat);	23.230158	86
(((((Mouse,Rat),Cat),Human),(Gorilla,Orangutan)),(Macaque,Chimp),Dog);	40.813488	8
(((Dog,(Human,(Chimp,(Gorilla,Rat)))),(Mouse,Macaque)),Cat,Orangutan);	46.063492	5
((Macaque,Mouse),(Orangutan,((Chimp,Human),Gorilla)),(Rat,(Cat,Dog)));	17.503967	8
(((Macaque,Mouse),Gorilla),Orangutan,(((Chimp,Human),Rat),(Cat,Dog)));	38.968254	10
((((Rat,Mouse),Macaque),(Cat,(Gorilla,Orangutan))),(Human,Chimp),Dog);	32.587299	12
((Rat,Mouse),((Macaque,Orangutan),(Human,(Chimp,Gorilla))),(Cat,Dog));	18.845238	13
(((Gorilla,Chimp),(Rat,((Dog,Mouse),Macaque))),(Human,Cat),Orangutan);	34.353176	2
(((Macaque,Mouse),(Chimp,(Human,Gorilla))),Orangutan,(Rat,(Cat,Dog)));	29.690474	4
((Macaque,((Mouse,Dog),Rat)),(Orangutan,((Human,Chimp),Gorilla)),Cat);	19.087305	11
(((Rat,Mouse),((Chimp,Human),Gorilla)),Orangutan,(Macaque,(Cat,Dog)));	25.757936	33
(((Dog,(Human,(Mouse,(Gorilla,Orangutan)))),Rat),(Chimp,Macaque),Cat);	51.785717	16
((Rat,Mouse),(Orangutan,((Chimp,Human),(Macaque,Gorilla))),(Cat,Dog));	18.476189	23
